Starting Test for 
Transistor testing lab
16:21:20 Oct  1 2017


Please wait for device to measure data untill it stop printing *
PWM Init 

* * * * * * * * * * * * * * * * Reading complete, hit anykey to continue print 

Print Column in the following order: 

Duty, PD0, PE1, PD2, PD3 

refV = 3920
0,  11.94,  7.88,  3891.69,  4.94 
1,  49.06,  46.50,  3891.62,  5.19 
2,  84.12,  85.00,  3889.62,  5.69 
3,  122.62,  123.62,  3892.38,  5.75 
4,  160.25,  161.31,  3892.62,  3.69 
5,  198.62,  199.69,  3892.44,  4.12 
6,  240.00,  238.81,  3893.38,  4.62 
7,  281.31,  278.19,  3892.38,  5.56 
8,  319.25,  318.06,  3892.12,  4.94 
9,  359.88,  358.25,  3892.69,  4.38 
10,  399.62,  398.19,  3894.56,  5.38 
11,  437.75,  436.88,  3895.88,  4.75 
12,  475.69,  478.25,  3895.00,  4.00 
13,  514.56,  517.31,  3895.19,  4.38 
14,  553.19,  555.38,  3894.31,  4.69 
15,  591.75,  594.69,  3895.44,  4.88 
16,  631.62,  633.44,  3893.88,  5.12 
17,  670.94,  671.56,  3893.81,  4.56 
18,  711.06,  711.19,  3893.94,  5.88 
19,  751.88,  750.44,  3893.50,  4.44 
20,  790.12,  788.62,  3894.19,  4.44 
21,  828.56,  827.44,  3893.44,  4.31 
22,  866.44,  866.00,  3894.38,  4.19 
23,  903.19,  904.69,  3895.25,  4.00 
24,  940.31,  944.56,  3894.69,  4.69 
25,  977.44,  982.81,  3894.06,  6.06 
26,  1019.88,  1022.81,  3894.00,  6.81 
27,  1064.38,  1062.25,  3893.06,  10.81 
28,  1103.69,  1100.81,  3888.75,  18.56 
29,  1143.62,  1140.31,  3868.75,  36.38 
30,  1182.50,  1179.19,  3828.12,  73.94 
31,  1221.25,  1218.69,  3744.38,  154.81 
32,  1259.56,  1256.56,  3557.75,  317.06 
33,  1295.06,  1295.19,  3203.38,  627.12 
34,  1332.44,  1334.31,  2593.81,  1162.44 
35,  1369.50,  1372.50,  1655.94,  1981.94 
36,  1407.62,  1411.75,  384.88,  3096.75 
37,  1454.62,  1450.50,  72.06,  3369.31 
38,  1495.38,  1489.69,  57.00,  3383.00 
39,  1533.88,  1528.38,  48.62,  3387.06 
40,  1573.25,  1566.88,  45.12,  3389.44 
41,  1610.62,  1605.75,  48.06,  3392.69 
42,  1650.31,  1643.62,  47.44,  3392.62 
43,  1685.75,  1681.56,  46.06,  3392.88 
44,  1722.50,  1721.25,  45.94,  3393.44 
45,  1760.12,  1763.44,  45.81,  3393.44 
46,  1799.50,  1805.00,  44.75,  3394.19 
47,  1840.75,  1844.19,  46.44,  3395.81 
48,  1882.38,  1881.75,  45.75,  3395.06 
49,  1924.06,  1920.62,  46.12,  3394.06 
50,  1964.06,  1958.81,  45.31,  3394.75 
51,  2001.88,  1997.38,  45.81,  3394.19 
52,  2041.56,  2035.75,  46.25,  3394.06 
53,  2077.69,  2073.25,  46.50,  3394.69 
54,  2114.81,  2112.81,  47.00,  3394.44 
55,  2153.19,  2160.31,  46.50,  3394.81 
56,  2191.69,  2199.88,  46.81,  3394.75 
57,  2232.94,  2236.88,  46.44,  3394.81 
58,  2273.12,  2273.12,  45.62,  3394.44 
59,  2313.56,  2310.75,  47.06,  3393.81 
60,  2352.81,  2349.75,  47.94,  3394.12 
61,  2389.50,  2389.00,  48.31,  3395.19 
62,  2426.56,  2427.81,  48.56,  3394.25 
63,  2465.00,  2465.25,  46.94,  3394.50 
64,  2505.69,  2504.19,  48.00,  3393.69 
65,  2544.00,  2543.69,  47.19,  3395.44 
66,  2581.75,  2583.38,  47.06,  3395.38 
67,  2622.50,  2622.44,  46.25,  3395.12 
68,  2664.06,  2661.06,  46.00,  3394.56 
69,  2703.75,  2699.19,  44.81,  3394.19 
70,  2743.88,  2739.31,  48.44,  3394.31 
71,  2781.31,  2778.44,  51.94,  3394.94 
72,  2818.94,  2816.25,  51.94,  3394.94 
73,  2856.25,  2855.88,  51.56,  3395.25 
74,  2896.06,  2894.12,  51.25,  3394.56 
75,  2936.94,  2934.00,  50.44,  3396.50 
76,  2976.06,  2973.62,  49.94,  3395.50 
77,  3016.06,  3012.25,  49.88,  3395.12 
78,  3054.81,  3050.75,  49.06,  3393.62 
79,  3095.06,  3090.44,  49.19,  3394.56 
80,  3135.06,  3129.75,  49.50,  3395.62 
81,  3171.56,  3168.69,  49.69,  3394.12 
82,  3210.94,  3206.62,  49.75,  3394.50 
83,  3247.81,  3245.00,  49.00,  3394.19 
84,  3287.00,  3284.25,  51.19,  3395.62 
85,  3324.50,  3322.44,  50.62,  3395.81 
86,  3363.69,  3361.56,  50.31,  3394.56 
87,  3405.12,  3399.62,  49.44,  3395.12 
88,  3442.81,  3437.62,  47.94,  3394.38 
89,  3483.75,  3479.75,  47.50,  3393.69 
90,  3523.81,  3519.75,  47.62,  3394.12 
91,  3560.81,  3558.75,  50.88,  3394.88 
92,  3599.50,  3599.81,  52.00,  3393.62 
93,  3639.69,  3640.06,  51.31,  3395.25 
94,  3677.50,  3677.19,  52.00,  3393.69 
95,  3719.88,  3716.06,  52.44,  3394.31 
96,  3758.44,  3756.81,  53.31,  3395.00 
97,  3798.75,  3795.25,  52.94,  3394.69 
98,  3835.69,  3833.12,  52.69,  3394.00 
99,  3874.81,  3871.94,  53.31,  3394.50 
100,  3895.62,  3891.12,  55.25,  3396.12 
