Starting Test for 
Transistor testing lab
16:21:20 Oct  1 2017


Please wait for device to measure data untill it stop printing *
PWM Init 

* * * * * * * * * * * * * * * * Reading complete, hit anykey to continue print 

Print Column in the following order: 

Duty, PD0, PE1, PD2, PD3 

refV = 3920
0,  13.38,  12.25,  3757.38,  2936.50 
1,  46.44,  46.12,  3755.00,  2938.69 
2,  84.06,  85.88,  3755.88,  2939.81 
3,  123.19,  122.88,  3756.25,  2938.62 
4,  161.00,  162.62,  3756.81,  2940.56 
5,  199.38,  201.56,  3756.38,  2939.88 
6,  238.19,  240.12,  3756.94,  2941.50 
7,  279.88,  279.62,  3756.62,  2942.81 
8,  319.75,  318.62,  3756.06,  2943.69 
9,  358.69,  358.12,  3757.69,  2944.94 
10,  399.25,  399.19,  3757.75,  2948.44 
11,  437.50,  441.81,  3758.94,  2951.00 
12,  475.69,  479.81,  3757.12,  2953.19 
13,  514.69,  517.81,  3756.62,  2959.31 
14,  552.38,  555.31,  3758.38,  2965.69 
15,  591.19,  592.56,  3756.75,  2973.81 
16,  629.31,  632.81,  3755.44,  2984.56 
17,  670.50,  672.44,  3755.00,  2996.56 
18,  709.94,  712.19,  3752.88,  3012.00 
19,  750.69,  752.19,  3752.88,  3028.38 
20,  790.50,  790.88,  3750.75,  3045.31 
21,  827.94,  828.50,  3751.25,  3067.06 
22,  866.81,  867.19,  3749.75,  3085.94 
23,  904.44,  905.88,  3748.62,  3105.62 
24,  940.81,  943.88,  3748.25,  3129.50 
25,  977.75,  982.00,  3746.75,  3151.56 
26,  1019.06,  1022.62,  3745.38,  3175.56 
27,  1061.75,  1061.81,  3741.88,  3201.12 
28,  1102.19,  1102.62,  3737.50,  3224.50 
29,  1142.12,  1143.12,  3740.75,  3250.31 
30,  1180.62,  1181.50,  3744.94,  3272.75 
31,  1220.44,  1220.75,  3743.56,  3294.69 
32,  1258.31,  1258.81,  3741.75,  3313.00 
33,  1295.69,  1297.06,  3741.50,  3329.25 
34,  1332.81,  1335.06,  3741.31,  3340.75 
35,  1370.38,  1373.00,  3739.56,  3348.75 
36,  1414.62,  1413.44,  3739.12,  3355.88 
37,  1455.38,  1453.88,  3738.31,  3359.75 
38,  1494.50,  1493.88,  3737.50,  3363.94 
39,  1532.75,  1533.25,  3735.81,  3366.69 
40,  1573.25,  1572.81,  3739.56,  3369.75 
41,  1611.81,  1609.81,  3739.25,  3372.44 
42,  1650.31,  1647.62,  3739.62,  3373.19 
43,  1687.00,  1685.69,  3739.62,  3373.06 
44,  1723.94,  1727.12,  3741.00,  3375.31 
45,  1761.75,  1763.88,  3740.12,  3375.25 
46,  1800.69,  1801.75,  3739.56,  3375.31 
47,  1841.06,  1844.38,  3740.69,  3377.19 
48,  1882.81,  1884.94,  3740.25,  3377.75 
49,  1925.00,  1925.50,  3739.56,  3377.50 
50,  1964.19,  1962.94,  3740.56,  3378.69 
51,  2003.25,  2001.12,  3740.81,  3378.62 
52,  2043.00,  2039.69,  3741.38,  3379.81 
53,  2079.12,  2077.31,  3741.62,  3380.06 
54,  2115.94,  2121.12,  3742.50,  3379.81 
55,  2154.19,  2158.50,  3741.88,  3380.06 
56,  2193.00,  2196.94,  3743.06,  3381.06 
57,  2234.44,  2237.31,  3742.00,  3380.44 
58,  2275.50,  2275.75,  3742.19,  3381.25 
59,  2314.94,  2314.88,  3741.25,  3379.81 
60,  2354.69,  2354.19,  3741.69,  3380.62 
61,  2392.94,  2392.56,  3743.38,  3380.94 
62,  2430.44,  2430.62,  3745.56,  3382.81 
63,  2466.56,  2467.94,  3744.19,  3380.94 
64,  2505.12,  2505.19,  3745.56,  3381.69 
65,  2546.12,  2545.38,  3745.75,  3383.19 
