Starting Test for 
Transistor testing lab
16:21:20 Oct  1 2017


Please wait for device to measure data untill it stop printing *
PWM Init 

* * * * * * * * * * * * * * * * Reading complete, hit anykey to continue print 

Print Column in the following order: 

Duty, PD0, PE1, PD2, PD3 
66,  2584.44,  2585.62,  3744.25,  3381.31 
67,  2624.31,  2623.75,  3743.00,  3382.88 
68,  2666.38,  2665.00,  3742.69,  3382.56 
69,  2705.81,  2704.25,  3740.88,  3381.62 
70,  2746.06,  2744.25,  3740.50,  3382.25 
71,  2784.81,  2784.12,  3746.62,  3383.50 
72,  2823.00,  2821.00,  3749.44,  3381.94 
73,  2858.69,  2858.06,  3750.06,  3383.44 
74,  2897.88,  2896.12,  3748.94,  3382.62 
75,  2938.88,  2936.56,  3748.31,  3383.19 
76,  2977.50,  2975.62,  3748.38,  3383.62 
77,  3016.19,  3015.38,  3746.00,  3381.31 
78,  3057.44,  3055.38,  3745.69,  3382.50 
79,  3097.44,  3096.25,  3746.94,  3382.94 
80,  3135.50,  3134.94,  3746.56,  3382.94 
81,  3174.44,  3173.44,  3746.38,  3383.12 
82,  3213.38,  3211.19,  3747.69,  3383.75 
83,  3251.75,  3250.44,  3748.25,  3384.19 
84,  3290.38,  3288.44,  3748.06,  3383.31 
85,  3328.31,  3327.19,  3748.62,  3384.69 
86,  3367.38,  3367.19,  3748.75,  3383.62 
87,  3407.12,  3404.38,  3746.94,  3383.38 
88,  3446.56,  3442.25,  3746.56,  3383.00 
89,  3486.88,  3483.56,  3746.69,  3383.56 
90,  3525.69,  3524.25,  3743.94,  3383.62 
91,  3563.81,  3567.19,  3745.62,  3384.12 
92,  3604.62,  3606.19,  3749.94,  3384.06 
93,  3642.31,  3643.06,  3750.25,  3384.31 
94,  3682.81,  3681.88,  3751.19,  3384.06 
95,  3722.62,  3721.44,  3750.69,  3382.88 
96,  3760.75,  3760.12,  3750.56,  3384.31 
97,  3800.56,  3799.94,  3751.88,  3384.38 
98,  3839.00,  3837.69,  3749.69,  3383.00 
99,  3878.06,  3877.19,  3751.38,  3384.81 
100,  3896.06,  3891.25,  3751.56,  3382.62 
